cluster_id,gaia_name,source_file,n_profile_bins,radius_min_deg,radius_max_deg,disp_inner_p50,disp_outer_p50,rot_peak_abs_p50
NGC6287,NGC_6287,profiles/NGC_6287.txt,101,0.0,0.1,0.177037,0.0908224,0.0385966
NGC6293,NGC_6293,profiles/NGC_6293.txt,101,0.0,0.0833333,0.151511,0.0902011,0.00687867
NGC6304,NGC_6304,profiles/NGC_6304.txt,101,0.0,0.0833333,0.176994,0.106731,0.0307159
NGC6316,NGC_6316,profiles/NGC_6316.txt,101,0.0,0.0666667,0.160622,0.0827846,0.0416563
NGC6325,NGC_6325,profiles/NGC_6325.txt,101,0.0,0.05,0.151923,0.0755317,0.0166263
NGC6333,NGC_6333_M_9,profiles/NGC_6333_M_9.txt,101,0.0,0.133333,0.150396,0.0625629,0.0343629
NGC6341,NGC_6341_M_92,profiles/NGC_6341_M_92.txt,101,0.0,0.25,0.260582,0.0650303,0.0627653
NGC6342,NGC_6342,profiles/NGC_6342.txt,101,0.0,0.0666667,0.148952,0.0386462,0.0180267
NGC6352,NGC_6352,profiles/NGC_6352.txt,101,0.0,0.166667,0.126554,0.0253501,0.0189632
NGC6355,NGC_6355,profiles/NGC_6355.txt,101,0.0,0.05,0.162141,0.0891786,0.0464789
NGC6356,NGC_6356,profiles/NGC_6356.txt,101,0.0,0.133333,0.11952,0.0489622,0.0480027
NGC6362,NGC_6362,profiles/NGC_6362.txt,101,0.0,0.2,0.108041,0.0275365,0.0170112
NGC6366,NGC_6366,profiles/NGC_6366.txt,101,0.0,0.2,0.154497,0.0908433,0.017088
NGC6380,NGC_6380_Ton1,profiles/NGC_6380_Ton1.txt,101,0.0,0.0666667,0.181396,0.0897029,0.0114552
NGC6388,NGC_6388,profiles/NGC_6388.txt,101,0.0,0.166667,0.284889,0.0899271,0.0568675
NGC6397,NGC_6397,profiles/NGC_6397.txt,101,0.0,0.416667,0.474924,0.185053,0.0108436
NGC6401,NGC_6401,profiles/NGC_6401.txt,101,0.0,0.05,0.228502,0.114875,0.0405294
NGC6402,NGC_6402_M_14,profiles/NGC_6402_M_14.txt,101,0.0,0.133333,0.248882,0.0760171,0.06579
NGC6426,NGC_6426,profiles/NGC_6426.txt,101,0.0,0.0666667,0.0217731,0.00573078,0.0181027
NGC6440,NGC_6440,profiles/NGC_6440.txt,101,0.0,0.05,0.339523,0.169992,0.0903577
NGC6441,NGC_6441,profiles/NGC_6441.txt,101,0.0,0.1,0.33101,0.0897781,0.0293862
NGC6453,NGC_6453,profiles/NGC_6453.txt,101,0.0,0.05,0.144437,0.0874033,0.0901923
NGC6496,NGC_6496,profiles/NGC_6496.txt,101,0.0,0.0833333,0.0578485,0.0299444,0.0304714
NGC6517,NGC_6517,profiles/NGC_6517.txt,101,0.0,0.0666667,0.224966,0.0761011,0.00670825
NGC6522,NGC_6522,profiles/NGC_6522.txt,101,0.0,0.05,0.221001,0.138286,0.0529437
NGC6528,NGC_6528,profiles/NGC_6528.txt,101,0.0,0.0333333,0.165864,0.061939,0.0400801
NGC6535,NGC_6535,profiles/NGC_6535.txt,101,0.0,0.0666667,0.074636,0.0117377,0.0099902
NGC6539,NGC_6539,profiles/NGC_6539.txt,101,0.0,0.1,0.172545,0.0706056,0.0458078
NGC6540,NGC_6540_Djorg,profiles/NGC_6540_Djorg.txt,101,0.0,0.0333333,0.0960865,0.0128988,0.0313995
NGC6541,NGC_6541,profiles/NGC_6541.txt,101,0.0,0.2,0.229833,0.0743094,0.0358287
NGC6544,NGC_6544,profiles/NGC_6544.txt,101,0.0,0.166667,0.462061,0.239686,0.0359109
NGC6553,NGC_6553,profiles/NGC_6553.txt,101,0.0,0.1,0.285605,0.204704,0.0416738
NGC6558,NGC_6558,profiles/NGC_6558.txt,101,0.0,0.05,0.100183,0.030319,0.0818488
NGC6569,NGC_6569,profiles/NGC_6569.txt,101,0.0,0.0666667,0.130928,0.0872577,0.0231155
NGC6584,NGC_6584,profiles/NGC_6584.txt,101,0.0,0.1,0.0746197,0.0173935,0.0238717
NGC6624,NGC_6624,profiles/NGC_6624.txt,101,0.0,0.0666667,0.166141,0.0887348,0.0723503
NGC6626,NGC_6626_M_28,profiles/NGC_6626_M_28.txt,101,0.0,0.133333,0.308455,0.146403,0.0465544
NGC6637,NGC_6637_M_69,profiles/NGC_6637_M_69.txt,101,0.0,0.0833333,0.164927,0.0478117,0.0407921
NGC6638,NGC_6638,profiles/NGC_6638.txt,101,0.0,0.0333333,0.169088,0.0274961,0.0172517
NGC6642,NGC_6642,profiles/NGC_6642.txt,101,0.0,0.0333333,0.115216,0.0763348,0.0630469
NGC6652,NGC_6652,profiles/NGC_6652.txt,101,0.0,0.05,0.133616,0.0308778,0.0129506
NGC6656,NGC_6656_M_22,profiles/NGC_6656_M_22.txt,101,0.0,0.333333,0.599421,0.22634,0.157552
NGC6681,NGC_6681_M_70,profiles/NGC_6681_M_70.txt,101,0.0,0.1,0.0964836,0.0394798,0.0113041
NGC6712,NGC_6712,profiles/NGC_6712.txt,101,0.0,0.0833333,0.132089,0.0722976,0.01785
NGC6715,NGC_6715_M_54,profiles/NGC_6715_M_54.txt,101,0.0,0.1,0.136458,0.056611,0.0679737
NGC6717,NGC_6717_Pal9,profiles/NGC_6717_Pal9.txt,101,0.0,0.05,0.0685204,0.0193885,0.0300917
NGC6723,NGC_6723,profiles/NGC_6723.txt,101,0.0,0.166667,0.16136,0.0228903,0.0164862
NGC6749,NGC_6749,profiles/NGC_6749.txt,101,0.0,0.0833333,0.185727,0.0847755,0.0340589
NGC6752,NGC_6752,profiles/NGC_6752.txt,101,0.0,0.416667,0.376381,0.112112,0.0353715
NGC6760,NGC_6760,profiles/NGC_6760.txt,101,0.0,0.1,0.176372,0.0623667,0.0198038
NGC6779,NGC_6779_M_56,profiles/NGC_6779_M_56.txt,101,0.0,0.133333,0.100055,0.0339091,0.0225769
NGC6809,NGC_6809_M_55,profiles/NGC_6809_M_55.txt,101,0.0,0.25,0.201735,0.088896,0.0514563
NGC6838,NGC_6838_M_71,profiles/NGC_6838_M_71.txt,101,0.0,0.166667,0.14257,0.0778974,0.00961472
NGC6864,NGC_6864_M_75,profiles/NGC_6864_M_75.txt,101,0.0,0.1,0.0960458,0.0207706,0.0429034
NGC6934,NGC_6934,profiles/NGC_6934.txt,101,0.0,0.1,0.0709888,0.0197181,0.00535221
NGC6981,NGC_6981_M_72,profiles/NGC_6981_M_72.txt,101,0.0,0.1,0.0403418,0.00817395,0.0390866
NGC7078,NGC_7078_M_15,profiles/NGC_7078_M_15.txt,101,0.0,0.25,0.184268,0.0437232,0.0857613
NGC7089,NGC_7089_M_2,profiles/NGC_7089_M_2.txt,101,0.0,0.25,0.202717,0.0570302,0.0362008
NGC7099,NGC_7099_M_30,profiles/NGC_7099_M_30.txt,101,0.0,0.2,0.15045,0.0418816,0.0173801
PAL10,Pal_10,profiles/Pal_10.txt,101,0.0,0.0666667,0.104476,0.0712234,0.0215601
PAL06,Pal_6,profiles/Pal_6.txt,101,0.0,0.05,0.213613,0.0699913,0.00907331
PAL08,Pal_8,profiles/Pal_8.txt,101,0.0,0.0666667,0.0504044,0.0190264,0.0177297
TERZAN_10,Terzan_10,profiles/Terzan_10.txt,101,0.0,0.05,0.135852,0.0501816,0.0762691
TERZAN_12,Terzan_12,profiles/Terzan_12.txt,101,0.0,0.05,0.169092,0.120022,0.0658745
TERZAN_1_HP_2,Terzan_1_HP_2,profiles/Terzan_1_HP_2.txt,101,0.0,0.05,0.367942,0.0792307,0.144511
TERZAN_2_HP_3,Terzan_2_HP_3,profiles/Terzan_2_HP_3.txt,101,0.0,0.0333333,0.133042,0.047108,0.0469397
TERZAN_3,Terzan_3,profiles/Terzan_3.txt,101,0.0,0.0833333,0.0740191,0.0357423,0.0433264
TERZAN_4_HP_4,Terzan_4_HP_4,profiles/Terzan_4_HP_4.txt,101,0.0,0.05,0.131953,0.047718,0.0577769
TERZAN_5_11,Terzan_5_11,profiles/Terzan_5_11.txt,101,0.0,0.05,0.466665,0.329332,0.0784906
TERZAN_6_HP_5,Terzan_6_HP_5,profiles/Terzan_6_HP_5.txt,101,0.0,0.0333333,0.225498,0.0490459,0.0523768
TERZAN_9,Terzan_9,profiles/Terzan_9.txt,101,0.0,0.05,0.26418,0.17824,0.0233416
TON2_PISMIS26,Ton2_Pismis26,profiles/Ton2_Pismis26.txt,101,0.0,0.05,0.105765,0.0474474,0.0280998
