cluster_id,gaia_name,radius_deg,disp_p02_3,disp_p15_9,disp_p50,disp_p84_1,disp_p97_7,rot_p02_3,rot_p15_9,rot_p50,rot_p84_1,rot_p97_7,rot_extra,source_file
BH_140,BH_140,0.0466667,0.0810286,0.0847023,0.0880516,0.0926979,0.0975782,-0.00883194,0.000182903,0.00883295,0.0186657,0.0279838,0.0318684,profiles/BH_140.txt
BH_140,BH_140,0.0483333,0.0807297,0.0842236,0.0876583,0.0922998,0.0971159,-0.00884536,0.000309132,0.00936214,0.0194108,0.0292773,0.0317188,profiles/BH_140.txt
BH_140,BH_140,0.05,0.0803702,0.0838403,0.0873283,0.0918978,0.0966231,-0.00853003,0.000501225,0.00985256,0.0197913,0.0300166,0.0315389,profiles/BH_140.txt
BH_140,BH_140,0.0516667,0.0800163,0.0834741,0.0870763,0.0915941,0.0961206,-0.00841199,0.000602598,0.0100969,0.0202887,0.030587,0.0313328,profiles/BH_140.txt
BH_140,BH_140,0.0533333,0.0796398,0.0831484,0.0867711,0.0912739,0.0956834,-0.00833537,0.000644539,0.0102805,0.0205668,0.031222,0.0311041,profiles/BH_140.txt
BH_140,BH_140,0.055,0.0794358,0.0828042,0.0864448,0.0908836,0.0952947,-0.00830797,0.000520873,0.0103207,0.0206766,0.0312594,0.0308561,profiles/BH_140.txt
BH_140,BH_140,0.0566667,0.0789494,0.0824869,0.0861486,0.0904946,0.0950546,-0.00844722,0.00036344,0.0103177,0.0206992,0.0312139,0.0305918,profiles/BH_140.txt
BH_140,BH_140,0.0583333,0.0786209,0.0822364,0.0859134,0.0900732,0.094529,-0.00846881,0.000321157,0.0101922,0.0207368,0.0309147,0.0303138,profiles/BH_140.txt
BH_140,BH_140,0.06,0.0780979,0.0819947,0.0856097,0.0897366,0.0938742,-0.00858778,0.000326012,0.0100021,0.0203682,0.0305996,0.0300245,profiles/BH_140.txt
BH_140,BH_140,0.0616667,0.0777918,0.0817153,0.0853057,0.0893957,0.0935228,-0.00874773,0.000154012,0.00968296,0.0200866,0.0303993,0.0297259,profiles/BH_140.txt
BH_140,BH_140,0.0633333,0.0773751,0.0814296,0.085024,0.0890467,0.0930201,-0.00911606,-9.06657e-05,0.00941955,0.0193965,0.0298769,0.02942,profiles/BH_140.txt
BH_140,BH_140,0.065,0.0769971,0.0811211,0.0847878,0.0888115,0.0926909,-0.0096023,-0.000164171,0.00904907,0.0187638,0.0290391,0.0291083,profiles/BH_140.txt
BH_140,BH_140,0.0666667,0.076575,0.0807774,0.0845226,0.0884783,0.0924306,-0.00987809,-0.00052769,0.00850536,0.0180877,0.0284935,0.0287922,profiles/BH_140.txt
BH_140,BH_140,0.0683333,0.0762009,0.08041,0.0842854,0.0881865,0.0920971,-0.0100862,-0.000934313,0.00814952,0.0171952,0.0275332,0.0284731,profiles/BH_140.txt
BH_140,BH_140,0.07,0.0758726,0.0800877,0.0840515,0.0879733,0.091797,-0.0105655,-0.00151821,0.00765569,0.0164314,0.0268418,0.0281521,profiles/BH_140.txt
BH_140,BH_140,0.0716667,0.0753639,0.0797497,0.0837676,0.0876529,0.0916097,-0.0106803,-0.00201009,0.0071008,0.0158404,0.02611,0.0278301,profiles/BH_140.txt
BH_140,BH_140,0.0733333,0.0751239,0.0793812,0.0834878,0.0874698,0.0914657,-0.0109698,-0.00265612,0.00641547,0.0153321,0.0254411,0.0275081,profiles/BH_140.txt
BH_140,BH_140,0.075,0.0747971,0.0790518,0.0833131,0.0872826,0.0913049,-0.0115515,-0.00332994,0.00589488,0.0148174,0.0248514,0.0271866,profiles/BH_140.txt
BH_140,BH_140,0.0766667,0.074478,0.0786865,0.0831718,0.0871264,0.0910951,-0.0124572,-0.00398313,0.00534718,0.0143144,0.0242529,0.0268664,profiles/BH_140.txt
BH_140,BH_140,0.0783333,0.0741866,0.0784075,0.0829872,0.0869415,0.0907992,-0.0128977,-0.00480957,0.00479139,0.0137659,0.0237591,0.0265481,profiles/BH_140.txt
BH_140,BH_140,0.08,0.0739767,0.0781212,0.0827912,0.0867354,0.0905494,-0.013609,-0.0053923,0.0042854,0.0133498,0.0230956,0.026232,profiles/BH_140.txt
BH_140,BH_140,0.0816667,0.0736612,0.0778714,0.0826,0.0865612,0.0903472,-0.0143963,-0.00600003,0.00372567,0.0129225,0.0226172,0.0259187,profiles/BH_140.txt
BH_140,BH_140,0.0833333,0.0734515,0.0777226,0.0824395,0.0863779,0.090014,-0.0153481,-0.00661782,0.00321786,0.0126347,0.022497,0.0256084,profiles/BH_140.txt
BH_140,BH_140,0.085,0.0732238,0.0774958,0.082247,0.0861964,0.0897925,-0.0164092,-0.00723512,0.00284915,0.0122866,0.0221618,0.0253016,profiles/BH_140.txt
BH_140,BH_140,0.0866667,0.0730696,0.0772991,0.082072,0.0860416,0.0896287,-0.0171586,-0.0078354,0.00250683,0.0120196,0.0219984,0.0249983,profiles/BH_140.txt
BH_140,BH_140,0.0883333,0.0729115,0.0771538,0.081891,0.0858415,0.0894145,-0.0179832,-0.00832043,0.00218672,0.0117603,0.021786,0.0246988,profiles/BH_140.txt
BH_140,BH_140,0.09,0.0727113,0.076978,0.081699,0.0856289,0.0891946,-0.0184299,-0.00870763,0.00178151,0.0116185,0.0216354,0.0244033,profiles/BH_140.txt
BH_140,BH_140,0.0916667,0.072567,0.0768223,0.0814998,0.0854086,0.0889327,-0.0189864,-0.00905935,0.00153295,0.0114325,0.0216459,0.024112,profiles/BH_140.txt
BH_140,BH_140,0.0933333,0.0723886,0.0766687,0.0813133,0.085209,0.0886833,-0.0192477,-0.00921608,0.00117534,0.0112664,0.0218073,0.0238248,profiles/BH_140.txt
BH_140,BH_140,0.095,0.0722671,0.0764711,0.0810818,0.0849702,0.0883384,-0.0193022,-0.0094012,0.000941847,0.0111934,0.0218642,0.023542,profiles/BH_140.txt
BH_140,BH_140,0.0966667,0.0720954,0.0762714,0.0808725,0.084709,0.088037,-0.0196825,-0.00937104,0.000806349,0.0111331,0.0217783,0.0232636,profiles/BH_140.txt
BH_140,BH_140,0.0983333,0.0719644,0.0761416,0.080615,0.0844381,0.0878219,-0.0197003,-0.00940084,0.000754182,0.0111133,0.0216768,0.0229895,profiles/BH_140.txt
BH_140,BH_140,0.1,0.0718223,0.0759518,0.0803732,0.08418,0.0875702,-0.0194027,-0.00939278,0.000689208,0.0111849,0.0215188,0.0227199,profiles/BH_140.txt
BH_140,BH_140,0.101667,0.0716683,0.075806,0.0800687,0.083936,0.0873602,-0.0192084,-0.00943644,0.000647918,0.0110397,0.0215333,0.0224547,profiles/BH_140.txt
BH_140,BH_140,0.103333,0.0714143,0.0756564,0.079766,0.0836994,0.0871456,-0.0191105,-0.00941009,0.00061824,0.0109863,0.0215297,0.022194,profiles/BH_140.txt
BH_140,BH_140,0.105,0.0713335,0.0754848,0.079492,0.0834316,0.0868752,-0.0188035,-0.009326,0.00070115,0.010943,0.0216024,0.0219376,profiles/BH_140.txt
BH_140,BH_140,0.106667,0.07121,0.0752379,0.0792652,0.0831925,0.0866574,-0.0185891,-0.00914411,0.000823995,0.0108557,0.0212049,0.0216857,profiles/BH_140.txt
BH_140,BH_140,0.108333,0.0710937,0.0750038,0.0790192,0.0829459,0.0863946,-0.0183371,-0.00888067,0.000978289,0.0109423,0.0210202,0.0214381,profiles/BH_140.txt
BH_140,BH_140,0.11,0.0708098,0.0747356,0.0787528,0.0826681,0.0862079,-0.0179721,-0.00863063,0.00101402,0.0109699,0.0208486,0.0211949,profiles/BH_140.txt
BH_140,BH_140,0.111667,0.0706555,0.0744868,0.0785477,0.0824728,0.0859615,-0.0177994,-0.00842824,0.00107137,0.0109913,0.0207733,0.0209559,profiles/BH_140.txt
BH_140,BH_140,0.113333,0.0704605,0.0741942,0.0782956,0.0822956,0.0857492,-0.0177127,-0.00817229,0.00127534,0.0110339,0.0207829,0.0207211,profiles/BH_140.txt
BH_140,BH_140,0.115,0.070119,0.0739501,0.0780039,0.0820379,0.085642,-0.0175346,-0.00793515,0.00135502,0.0110445,0.020734,0.0204905,profiles/BH_140.txt
BH_140,BH_140,0.116667,0.0699169,0.0737291,0.0777174,0.0818768,0.0854355,-0.0173789,-0.00759333,0.0014609,0.011189,0.0208281,0.0202641,profiles/BH_140.txt
