cluster_id,gaia_name,catalogue_file,n_sources,n_finite_pm,n_finite_phot,n_p50,n_p70,n_p90,n_p95,n_primary_q2_p90,median_density_arcmin2,p90_density_arcmin2,median_g,median_bp_rp,median_pmra,median_pmdec
PYXIS,Pyxis,catalogues/Pyxis.txt,584,584,566,130,122,114,107,97,20.335,27.018,19.308349999999997,1.2875,-3.1963999999999997,2.2625
RUP_106,Rup_106,catalogues/Rup_106.txt,1378,1378,1275,824,787,687,594,418,64.03999999999999,175.3,20.08645,1.0507,-1.91415,0.3214
RYU_059_RLGC1,Ryu_059_RLGC1,catalogues/Ryu_059_RLGC1.txt,141,141,133,80,76,68,61,30,40.34,145.2,19.72,2.7106,0.4034,-0.0887
RYU_879_RLGC2,Ryu_879_RLGC2,catalogues/Ryu_879_RLGC2.txt,347,347,258,37,24,14,11,3,177.9,220.5,19.2337,2.3838,-1.8959,-3.9746
SEGUE_3,Segue_3,catalogues/Segue_3.txt,76,76,75,23,23,19,17,16,5.083500000000001,30.564999999999998,19.1548,1.0534,-1.225,-2.3859500000000002
TERZAN_10,Terzan_10,catalogues/Terzan_10.txt,3600,3600,2881,245,216,155,127,35,122.9,146.32,19.340400000000002,2.8827,-1.77195,-3.3856
TERZAN_12,Terzan_12,catalogues/Terzan_12.txt,2238,2238,1952,444,420,373,342,126,73.13499999999999,123.7,19.4054,3.1603,-2.50095,-3.4164000000000003
TERZAN_1_HP_2,Terzan_1_HP_2,catalogues/Terzan_1_HP_2.txt,4341,4341,3205,722,574,314,188,75,134.0,269.1,19.3482,3.3898,-2.3344,-4.405
TERZAN_2_HP_3,Terzan_2_HP_3,catalogues/Terzan_2_HP_3.txt,1816,1816,1405,312,239,161,106,37,128.6,258.0,19.1477,3.1695,-2.5189500000000002,-5.44165
TERZAN_3,Terzan_3,catalogues/Terzan_3.txt,4714,4714,4228,2152,1945,1444,1084,853,54.79,131.8,19.8519,1.6987,-4.925,-2.1988
TERZAN_4_HP_4,Terzan_4_HP_4,catalogues/Terzan_4_HP_4.txt,2825,2825,2368,238,186,103,71,27,91.22,142.55999999999997,19.5019,2.9295999999999998,-2.0581,-3.5347
TERZAN_5_11,Terzan_5_11,catalogues/Terzan_5_11.txt,3723,3723,2872,1191,944,463,243,152,120.7,278.1,19.5716,3.44265,-1.7496,-4.7978
TERZAN_6_HP_5,Terzan_6_HP_5,catalogues/Terzan_6_HP_5.txt,1886,1886,1449,239,176,96,48,30,136.85000000000002,235.65,19.66015,3.2731,-3.08795,-5.499
TERZAN_7,Terzan_7,catalogues/Terzan_7.txt,812,812,762,392,359,297,239,155,26.564999999999998,146.48,19.789949999999997,0.98735,-2.7465,-2.2442
TERZAN_8,Terzan_8,catalogues/Terzan_8.txt,1166,1166,1133,597,572,511,456,390,15.86,46.66,19.4991,1.0867,-2.3623000000000003,-1.88055
TERZAN_9,Terzan_9,catalogues/Terzan_9.txt,4507,4507,3312,427,346,216,153,54,153.8,181.18,19.1958,3.03695,-2.0635,-4.8826
TON2_PISMIS26,Ton2_Pismis26,catalogues/Ton2_Pismis26.txt,2578,2578,2163,807,779,707,657,201,80.33,207.72000000000006,19.1695,2.5995,-3.61835,-2.5591999999999997
UKS_1,UKS_1,catalogues/UKS_1.txt,775,775,681,109,64,19,7,2,57.97,118.76,19.7347,3.1064,-1.169,-2.8309
VVV_CL001,VVV_CL001,catalogues/VVV_CL001.txt,208,208,185,24,18,8,4,1,67.475,98.40800000000003,19.8292,3.0363,-1.65985,-2.3096
VVV_CL002,VVV_CL002,catalogues/VVV_CL002.txt,141,141,133,14,14,14,14,3,38.65,83.86,19.6754,3.1691,-2.124,-2.7059
WHITING_1,Whiting_1,catalogues/Whiting_1.txt,55,55,55,41,40,36,35,20,5.064,55.842,20.0515,1.0381,-0.2347,-2.1512
