cluster_id,gaia_name,catalogue_file,n_sources,n_finite_pm,n_finite_phot,n_p50,n_p70,n_p90,n_p95,n_primary_q2_p90,median_density_arcmin2,p90_density_arcmin2,median_g,median_bp_rp,median_pmra,median_pmdec
NGC2808,NGC_2808,catalogues/NGC_2808.txt,32225,32225,26168,19088,18588,17475,16528,7879,114.8,313.0,19.4965,1.04495,0.5791,0.6079
NGC0288,NGC_288,catalogues/NGC_288.txt,12191,12191,9574,10966,10858,10591,10352,5845,142.1,363.6,19.6175,0.7411,4.1629,-5.6918
NGC3201,NGC_3201,catalogues/NGC_3201.txt,63171,63171,55859,32493,32408,32198,32028,18553,30.88,299.7,19.3694,1.1787,7.1623,-1.2856
NGC0362,NGC_362,catalogues/NGC_362.txt,19537,19537,15466,14239,13997,13499,13073,6306,151.3,331.9,19.4186,0.7735,6.5692,-2.4267
NGC4147,NGC_4147,catalogues/NGC_4147.txt,1419,1419,1108,1210,1187,1129,1085,474,120.0,419.26,19.9601,0.7068,-1.7597,-2.1516
NGC4372,NGC_4372,catalogues/NGC_4372.txt,37075,37075,31145,22644,21817,19750,17950,10189,83.72,300.9,19.6958,1.4201,-6.4428,2.9057
NGC4590,NGC_4590_M_68,catalogues/NGC_4590_M_68.txt,10305,10305,8386,8491,8384,8094,7842,4124,77.38,370.32000000000005,19.6272,0.75755,-2.8036,1.7183
NGC4833,NGC_4833,catalogues/NGC_4833.txt,30883,30883,25567,13279,11939,8770,6563,3320,70.44,347.4,19.4301,1.2585,-8.0487,-0.9195
NGC5024,NGC_5024_M_53,catalogues/NGC_5024_M_53.txt,11051,11051,9326,9826,9742,9512,9272,4961,81.56,301.5,19.9552,0.70295,-0.1843,-1.3651
NGC5053,NGC_5053,catalogues/NGC_5053.txt,3245,3245,3064,2750,2734,2694,2664,2008,35.59,117.4,20.1101,0.6648499999999999,-0.3661,-1.2968
NGC5139,NGC_5139_oCen,catalogues/NGC_5139_oCen.txt,228055,228055,197343,161656,160172,156530,153167,72932,102.2,196.5,19.057,0.97,-3.4476,-6.5013
NGC5272,NGC_5272_M_3,catalogues/NGC_5272_M_3.txt,28762,28762,24802,25395,25206,24778,24383,13220,110.95,295.4,19.6123,0.7176,-0.17775000000000002,-2.6898
NGC5286,NGC_5286,catalogues/NGC_5286.txt,11760,11760,9784,6777,6585,6067,5638,2286,93.345,256.6,19.5123,1.1762,-0.45775,-0.3836
NGC5466,NGC_5466,catalogues/NGC_5466.txt,5567,5567,4998,4918,4870,4761,4669,3134,72.3,225.04000000000005,20.1011,0.6595,-5.3614,-0.8647
NGC5634,NGC_5634,catalogues/NGC_5634.txt,1734,1734,1355,1403,1389,1349,1316,499,87.815,431.27,19.2395,0.9217,-1.716,-1.4906000000000001
