cluster_id,GC_NAME,dPOS,dRV,dPM,dFeH,RV_Prob,VB_PROB,VHELIO_AVG,VERR,GAIAEDR3_SOURCE_ID,GAIAEDR3_PARALLAX,GAIAEDR3_PMRA,GAIAEDR3_PMDEC,GAIAEDR3_PHOT_G_MEAN_MAG,M_H,M_H_ERR,C_FE,C_FE_ERR,N_FE,N_FE_ERR,O_FE,O_FE_ERR,MG_FE,MG_FE_ERR,AL_FE,AL_FE_ERR,SI_FE,SI_FE_ERR,FE_H,FE_H_ERR
NGC0104,NGC0104,3.6385327133135235,2.9986488819122314,4.129080772399902,2.7487282752990723,2.9507349609048106e-05,-999.0,18.533788681030273,0.20887897908687592,4683774231288764672,0.15014538168907166,2.650372266769409,-1.8264267444610596,15.829099655151367,-0.5973600149154663,0.012175268493592739,0.030208945274353027,0.04275297373533249,0.18700996041297913,0.04408261552453041,0.5761629343032837,0.062402836978435516,0.4046729505062103,0.024098705500364304,0.22609096765518188,0.041178081184625626,0.262220561504364,0.030334362760186195,-0.5856099724769592,0.013426396995782852
NGC0104,NGC0104,0.33776971934276645,0.14936041831970215,0.31576091051101685,1.7042871713638306,0.7484832406044006,0.99969,-15.657675743103027,0.11214913427829742,4689592911251564544,0.24776536226272583,5.214626312255859,-2.7547707557678223,15.140199661254883,-0.6331499814987183,0.010003548115491867,0.0021671652793884277,0.032891400158405304,0.7393000721931458,0.03521834313869476,-0.00437694787979126,0.04575954005122185,0.39753302931785583,0.019911624491214752,0.35651102662086487,0.030940473079681396,0.25910064578056335,0.02394966594874859,-0.638450026512146,0.010951321572065353
NGC0104,NGC0104,0.2276698029111458,-0.8043573498725891,0.745387852191925,0.010706937871873379,0.693294882774353,0.9999600000000001,-27.1022891998291,0.02419126033782959,4689616722544809344,0.22546303272247314,5.307135581970215,-3.03590989112854,12.204099655151367,-0.7457699775695801,0.008522657677531242,0.02647101879119873,0.015478166751563549,0.1691499948501587,0.01787710189819336,0.3375129997730255,0.01422350388020277,0.3559730052947998,0.01512259803712368,0.15294098854064941,0.02193322405219078,0.2803305983543396,0.016360029578208923,-0.7421299815177917,0.009759829379618168
NGC0104,NGC0104,0.19557938346746406,0.38085460662841797,0.6687176823616028,-0.9592470526695251,0.699465811252594,0.9999299999999999,-12.879745483398438,0.06754971295595169,4689806014641825536,0.21376167237758636,4.832805633544922,-2.425588369369507,13.851099967956543,-0.7933700084686279,0.01111610233783722,-0.18724000453948975,0.04620491340756416,1.1067899465560913,0.04676860570907593,0.14536499977111816,0.06825388967990875,0.34880298376083374,0.023413343355059624,0.259490966796875,0.03439387306571007,0.21478056907653809,0.028191832825541496,-0.8091599941253662,0.011781091801822186
NGC0104,NGC0104,0.18390195524431666,-0.3192359507083893,0.6842857599258423,0.6387759447097778,0.771072506904602,0.99997,-21.280832290649414,0.05089864134788513,4689806667476861568,0.23177297413349152,5.563187122344971,-2.8728320598602295,14.258700370788574,-0.7056800127029419,0.012798759154975414,0.1127699613571167,0.03625793755054474,0.7548199892044067,0.037938669323921204,0.24118295311927795,0.04315914213657379,0.34643295407295227,0.024312881752848625,0.3322109580039978,0.04099033772945404,0.2555505633354187,0.02944342792034149,-0.7164499759674072,0.01430260669440031
NGC0104,NGC0104,0.18795681567058717,-0.4465242922306061,0.8510018587112427,0.13485075533390045,0.761626660823822,0.9999600000000001,-22.808292388916016,0.024652475491166115,4689807766988459392,0.20301322638988495,4.853693962097168,-2.9407331943511963,12.609999656677246,-0.7487300038337708,0.008433743380010128,-0.008477985858917236,0.016191115602850914,0.7142400145530701,0.01867155358195305,0.32238301634788513,0.015284545719623566,0.34500300884246826,0.015194595791399479,0.2929309904575348,0.021797355264425278,0.24110060930252075,0.016494425013661385,-0.7518500089645386,0.009583684615790844
NGC0104,NGC0104,0.22366922764517053,-0.027227560058236122,0.6865551471710205,0.5791541337966919,0.767802357673645,0.9996799999999999,-17.776731491088867,0.12400230765342712,4689824397101625984,0.2478819638490677,5.4673967361450195,-2.945349931716919,15.33240032196045,-0.715470016002655,0.010440455749630928,0.14419996738433838,0.03205374255776405,-0.09283298254013062,0.03424161672592163,0.38050299882888794,0.040655359625816345,0.3658529818058014,0.020548200234770775,0.2784910202026367,0.03141350299119949,0.24722057580947876,0.024255795404314995,-0.7175300121307373,0.011441048234701157
NGC0104,NGC0104,0.1727723327535806,-0.26546192169189453,0.4260675311088562,0.847369909286499,0.7730430960655212,0.99998,-20.635543823242188,0.0555744394659996,4689807526470290176,0.16991673409938812,5.067691326141357,-2.342261791229248,14.319299697875977,-0.6920700073242188,0.009838159196078777,0.12505996227264404,0.02521369233727455,-0.038897037506103516,0.027799880132079124,0.44977298378944397,0.02882801555097103,0.36476296186447144,0.018654432147741318,0.305340975522995,0.02859223634004593,0.28741055727005005,0.021562237292528152,-0.6909099817276001,0.010971455834805965
NGC0104,NGC0104,0.1701241654797588,0.14045803248882294,0.9912437796592712,-0.6838449835777283,0.7498013973236084,0.99995,-15.764504432678223,0.024714607745409012,4689806701836580864,0.23797665536403656,5.55576753616333,-3.1240861415863037,12.828300476074219,-0.7849599719047546,0.008512224070727825,0.0539400577545166,0.017007479444146156,0.558370053768158,0.019506460055708885,0.34041306376457214,0.016155637800693512,0.36780303716659546,0.015524902381002903,0.26806098222732544,0.02188533917069435,0.27511066198349,0.016811981797218323,-0.7846500277519226,0.00959768332540989
NGC0104,NGC0104,0.18609868112801028,-0.6040918231010437,0.30033165216445923,-0.24133791029453278,0.7398488521575928,0.9999899999999999,-24.6991024017334,0.0601966418325901,4689614012433190144,0.20626167953014374,5.447896957397461,-2.558457136154175,13.889200210571289,-0.7419599890708923,0.010908975265920162,0.04285001754760742,0.04048330709338188,0.6556000113487244,0.04184863716363907,0.3513730466365814,0.057196248322725296,0.3394530117511749,0.02234783209860325,0.24066102504730225,0.03376445546746254,0.27895063161849976,0.02687290497124195,-0.7575600147247314,0.011733120307326317
