cluster_id,GC_name,RA_cen,DEC_cen,R_t,Fe_H_med,Fe_H_sig,RV_med,RV_sig,PM_RA,PM_DEC,PM_sig,dist,dist_err,rad_vel,rad_vel_err,Rgc,Rgc_err,mass,mass_err,Nstars
NGC0104,NGC0104,6.02379,-72.08131,1.5570000410079956,-0.7429999709129333,0.061000000685453415,-17.450000762939453,12.0,5.2515997886657715,-2.5515999794006348,0.6499999761581421,4520.60009765625,31.0,-17.450000762939453,0.1599999964237213,7.519999980926514,0.009999999776482582,813000.0,5310.0,302
NGC0288,NGC0288,13.1885,-26.58261,0.6050000190734863,-1.2710000276565552,0.06499999761581421,-44.45000076293945,3.0999999046325684,4.163899898529053,-5.7052998542785645,0.36000001430511475,8988.099609375,88.69999694824219,-44.45000076293945,0.12999999523162842,12.210000038146973,0.05999999865889549,93400.0,2580.0,43
NGC0362,NGC0362,15.80942,-70.84878,0.5979999899864197,-1.1130000352859497,0.05999999865889549,223.1199951171875,8.600000381469727,6.693600177764893,-2.5352001190185547,0.2199999988079071,8829.0,96.0999984741211,223.1199951171875,0.2800000011920929,9.619999885559082,0.05999999865889549,284000.0,4240.0,70
PAL01,Pal1,53.3335,79.58105,0.12200000137090683,-0.4449999928474426,0.10000000149011612,-75.72000122070312,5.0,-0.2513999938964844,0.00430000014603138,0.5799999833106995,11175.7001953125,323.5,-75.72000122070312,0.28999999165534973,17.40999984741211,0.28999999165534973,1030.0,204.0,3
NGC1851,NGC1851,78.52816,-40.04655,0.6110000014305115,-1.1299999952316284,0.1679999977350235,321.3999938964844,11.0,2.1452999114990234,-0.6499000191688538,0.27000001072883606,11950.7001953125,133.5,321.3999938964844,1.5499999523162842,16.690000534057617,0.10999999940395355,318000.0,4240.0,71
NGC1904,NGC1904,81.04584,-24.52442,0.2590000033378601,-1.5180000066757202,0.14100000262260437,205.75999450683594,6.400000095367432,2.4693000316619873,-1.5942000150680542,0.3100000023841858,13078.2001953125,180.0,205.75999450683594,0.20000000298023224,19.09000015258789,0.1599999964237213,144000.0,11100.0,40
NGC2298,NGC2298,102.24754,-36.00531,0.4350000023841858,-1.8350000381469727,0.07699999958276749,147.14999389648438,4.0,3.319499969482422,-2.1754000186920166,0.30000001192092896,9828.0,168.8000030517578,147.14999389648438,0.5699999928474426,15.069999694824219,0.14000000059604645,56000.0,7550.0,12
NGC2808,NGC2808,138.01291,-64.86349,0.9440000057220459,-1.065000057220459,0.07400000095367432,103.56999969482422,14.100000381469727,0.9944000244140625,0.27379998564720154,0.4399999976158142,10060.0,111.4000015258789,103.56999969482422,0.27000001072883606,11.579999923706055,0.07000000029802322,864000.0,6100.0,132
NGC3201,NGC3201,154.40343,-46.41248,0.925000011920929,-1.3869999647140503,0.125,493.6499938964844,4.699999809265137,8.34689998626709,-1.957200050354004,0.23999999463558197,4736.60009765625,42.5,493.6499938964844,0.20999999344348907,8.930000305175781,0.019999999552965164,154000.0,3160.0,217
NGC4147,NGC4147,182.52626,18.54264,0.27399998903274536,-1.628000020980835,0.06400000303983688,179.35000610351562,3.299999952316284,-1.7072999477386475,-2.089600086212158,0.3199999928474426,18534.80078125,213.1999969482422,179.35000610351562,0.3100000023841858,20.739999771118164,0.1899999976158142,38000.0,9110.0,3
RUP106,Rup106,189.6675,-51.15028,0.21299999952316284,-1.3009999990463257,0.032999999821186066,-38.36000061035156,5.0,-1.253000020980835,0.4009999930858612,0.5199999809265137,20711.30078125,361.8999938964844,-38.36000061035156,0.25999999046325684,18.040000915527344,0.3199999928474426,42200.0,13700.0,2
NGC4590,NGC4590,189.86658,-26.74406,0.4259999990463257,-2.2219998836517334,0.09099999815225601,-93.11000061035156,3.700000047683716,-2.7390999794006348,1.7786999940872192,0.2199999988079071,10403.7001953125,99.69999694824219,-93.11000061035156,0.18000000715255737,10.350000381469727,0.07000000029802322,122000.0,9220.0,41
NGC5024,NGC5024,198.23021,18.16817,0.5490000247955322,-1.9010000228881836,0.09099999815225601,-63.369998931884766,6.300000190734863,-0.13330000638961792,-1.3307000398635864,0.25,18498.19921875,183.8000030517578,-63.369998931884766,0.25,19.0,0.1599999964237213,451000.0,31900.0,41
NGC5053,NGC5053,199.11288,17.70025,0.31700000166893005,-2.2060000896453857,0.11100000143051147,42.81999969482422,2.0,-0.32910001277923584,-1.2132999897003174,0.23999999463558197,17536.599609375,233.60000610351562,42.81999969482422,0.25,18.010000228881836,0.20000000298023224,73900.0,16100.0,17
NGC5139,NGC5139,201.69699,-47.47947,2.1419999599456787,-1.6030000448226929,0.2460000067949295,232.77999877929688,17.700000762939453,-3.2495999336242676,-6.745999813079834,0.7200000286102295,5426.2998046875,46.5,232.77999877929688,0.20999999344348907,6.5,0.009999999776482582,3640000.0,41400.0,1864
NGC5272,NGC5272,205.54842,28.37728,0.7139999866485596,-1.4290000200271606,0.10499999672174454,-147.1999969482422,7.800000190734863,-0.15209999680519104,-2.6695001125335693,0.5099999904632568,10174.900390625,81.5999984741211,-147.1999969482422,0.27000001072883606,12.09000015258789,0.05999999865889549,402000.0,17000.0,299
NGC5466,NGC5466,211.36371,28.53444,0.2840000092983246,-1.812999963760376,0.08799999952316284,106.81999969482422,1.899999976158142,-5.342599868774414,-0.8224999904632568,0.23999999463558197,16119.7998046875,163.10000610351562,106.81999969482422,0.20000000298023224,16.469999313354492,0.12999999523162842,59900.0,9930.0,17
NGC5634,NGC5634,217.40533,-5.97643,0.41999998688697815,-1.7200000286102295,0.05700000002980232,-16.06999969482422,5.599999904632568,-1.6921000480651855,-1.4780000448226929,0.3400000035762787,25958.5,620.2999877929688,-16.06999969482422,0.6000000238418579,21.84000015258789,0.5699999928474426,228000.0,43700.0,2
PAL05,Pal5,229.01917,-0.121,0.11999999731779099,-1.24399995803833,0.0560000017285347,-58.61000061035156,5.0,-2.7302000522613525,-2.6540000438690186,0.5299999713897705,21941.0,513.9000244140625,-58.61000061035156,0.15000000596046448,17.270000457763672,0.4699999988079071,9980.0,1660.0,12
NGC5904,NGC5904,229.63841,2.08103,0.6069999933242798,-1.2050000429153442,0.10400000214576721,53.5,7.800000190734863,4.085400104522705,-9.868900299072266,0.27000001072883606,7479.0,60.20000076293945,53.5,0.25,6.269999980926514,0.019999999552965164,358000.0,5840.0,259
NGC6093,NGC6093,244.26004,-22.97608,0.3440000116825104,-1.6059999465942383,0.004000000189989805,10.930000305175781,11.0,-2.9344000816345215,-5.578199863433838,0.4099999964237213,10339.099609375,115.19999694824219,10.930000305175781,0.38999998569488525,3.950000047683716,0.07999999821186066,338000.0,9410.0,3
NGC6121,NGC6121,245.86974,-26.52575,1.6579999923706055,-1.0740000009536743,0.10300000011920929,71.20999908447266,4.800000190734863,-12.513999938964844,-19.020999908447266,0.6800000071525574,1851.0,15.5,71.20999908447266,0.15000000596046448,6.449999809265137,0.009999999776482582,88100.0,1140.0,224
NGC6144,NGC6144,246.80777,-26.0235,0.1979999989271164,-1.8020000457763672,0.0,194.7899932861328,3.700000047683716,-1.743899941444397,-2.6068999767303467,0.38999998569488525,8151.0,126.0,194.7899932861328,0.5799999833106995,2.5,0.019999999552965164,79200.0,13700.0,1
NGC6171,NGC6171,248.13275,-13.05378,0.36800000071525574,-1.0169999599456787,0.10499999672174454,-34.709999084472656,4.099999904632568,-1.9387999773025513,-5.979599952697754,0.23000000417232513,5631.0,76.30000305175781,-34.709999084472656,0.18000000715255737,3.740000009536743,0.03999999910593033,74900.0,3940.0,65
NGC6205,NGC6205,250.42181,36.45986,1.0360000133514404,-1.4839999675750732,0.09200000017881393,-244.89999389648438,9.600000381469727,-3.1494998931884766,-2.5734000205993652,0.3100000023841858,7419.2998046875,75.69999694824219,-244.89999389648438,0.30000001192092896,8.640000343322754,0.03999999910593033,544000.0,20600.0,152
NGC6229,NGC6229,251.74525,47.5278,0.39500001072883606,-1.2419999837875366,0.0689999982714653,-137.88999938964844,7.5,-1.170199990272522,-0.46630001068115234,0.41999998688697815,30105.900390625,471.0,-137.88999938964844,0.7099999785423279,29.450000762939453,0.4399999976158142,286000.0,90900.0,11
