cluster_id,gaia_catalogue_available,gaia_profile_available,hacks_profile_available,apogee_parameters_available,apogee_members_available,gaia_name,gaia_catalogue_file,gaia_profile_file,n_gaia_sources,n_gaia_primary_p90_q2,n_gaia_profile_bins,n_apogee_members,apogee_rv_median_kms,apogee_feh_median
NGC4833,True,True,False,False,False,NGC_4833,catalogues/NGC_4833.txt,profiles/NGC_4833.txt,30883.0,3320.0,101.0,,,
NGC5024,True,True,False,True,True,NGC_5024_M_53,catalogues/NGC_5024_M_53.txt,profiles/NGC_5024_M_53.txt,11051.0,4961.0,101.0,41.0,-62.58756256103516,-1.9067000150680544
NGC5053,True,True,False,True,True,NGC_5053,catalogues/NGC_5053.txt,profiles/NGC_5053.txt,3245.0,2008.0,101.0,17.0,43.538818359375,-2.218600034713745
NGC5139,True,True,False,True,True,NGC_5139_oCen,catalogues/NGC_5139_oCen.txt,profiles/NGC_5139_oCen.txt,228055.0,72932.0,101.0,1017.0,230.7105712890625,-1.6692999601364136
NGC5272,True,True,False,True,False,NGC_5272_M_3,catalogues/NGC_5272_M_3.txt,profiles/NGC_5272_M_3.txt,28762.0,13220.0,101.0,,,
NGC5286,True,True,False,False,False,NGC_5286,catalogues/NGC_5286.txt,profiles/NGC_5286.txt,11760.0,2286.0,101.0,,,
NGC5466,True,True,False,True,False,NGC_5466,catalogues/NGC_5466.txt,profiles/NGC_5466.txt,5567.0,3134.0,101.0,,,
NGC5634,True,True,False,True,False,NGC_5634,catalogues/NGC_5634.txt,profiles/NGC_5634.txt,1734.0,499.0,101.0,,,
NGC5694,True,True,False,False,False,NGC_5694,catalogues/NGC_5694.txt,profiles/NGC_5694.txt,963.0,242.0,101.0,,,
NGC5824,True,True,False,False,False,NGC_5824,catalogues/NGC_5824.txt,profiles/NGC_5824.txt,3488.0,753.0,101.0,,,
NGC5897,True,True,False,False,False,NGC_5897,catalogues/NGC_5897.txt,profiles/NGC_5897.txt,8224.0,3141.0,101.0,,,
NGC5904,True,True,False,True,False,NGC_5904_M_5,catalogues/NGC_5904_M_5.txt,profiles/NGC_5904_M_5.txt,28523.0,11843.0,101.0,,,
NGC5927,True,True,False,False,False,NGC_5927,catalogues/NGC_5927.txt,profiles/NGC_5927.txt,37264.0,1058.0,101.0,,,
NGC5946,True,True,False,False,False,NGC_5946,catalogues/NGC_5946.txt,profiles/NGC_5946.txt,9757.0,186.0,101.0,,,
NGC5986,True,True,False,False,False,NGC_5986,catalogues/NGC_5986.txt,profiles/NGC_5986.txt,11293.0,1475.0,101.0,,,
NGC6093,True,True,False,True,False,NGC_6093_M_80,catalogues/NGC_6093_M_80.txt,profiles/NGC_6093_M_80.txt,7749.0,1599.0,101.0,,,
NGC6101,True,True,False,False,False,NGC_6101,catalogues/NGC_6101.txt,profiles/NGC_6101.txt,13365.0,3836.0,101.0,,,
NGC6121,True,True,False,True,False,NGC_6121_M_4,catalogues/NGC_6121_M_4.txt,profiles/NGC_6121_M_4.txt,69417.0,14607.0,101.0,,,
NGC6139,True,True,False,False,False,NGC_6139,catalogues/NGC_6139.txt,profiles/NGC_6139.txt,11679.0,585.0,101.0,,,
NGC6144,True,True,False,True,False,NGC_6144,catalogues/NGC_6144.txt,profiles/NGC_6144.txt,5618.0,1308.0,101.0,,,
NGC6171,True,True,False,True,False,NGC_6171_M107,catalogues/NGC_6171_M107.txt,profiles/NGC_6171_M107.txt,10684.0,3915.0,101.0,,,
NGC6205,True,True,False,True,False,NGC_6205_M_13,catalogues/NGC_6205_M_13.txt,profiles/NGC_6205_M_13.txt,37720.0,14484.0,101.0,,,
NGC6218,True,True,False,True,False,NGC_6218_M_12,catalogues/NGC_6218_M_12.txt,profiles/NGC_6218_M_12.txt,22224.0,8123.0,101.0,,,
NGC6229,True,True,False,True,False,NGC_6229,catalogues/NGC_6229.txt,profiles/NGC_6229.txt,1597.0,427.0,101.0,,,
NGC6235,True,True,False,False,False,NGC_6235,catalogues/NGC_6235.txt,profiles/NGC_6235.txt,3270.0,623.0,101.0,,,
NGC6254,True,True,False,True,False,NGC_6254_M_10,catalogues/NGC_6254_M_10.txt,profiles/NGC_6254_M_10.txt,32290.0,10037.0,101.0,,,
NGC6256,True,True,False,False,False,NGC_6256,catalogues/NGC_6256.txt,profiles/NGC_6256.txt,3918.0,168.0,101.0,,,
NGC6266,True,True,False,False,False,NGC_6266_M_62,catalogues/NGC_6266_M_62.txt,profiles/NGC_6266_M_62.txt,53912.0,1653.0,101.0,,,
NGC6273,True,True,False,True,False,NGC_6273_M_19,catalogues/NGC_6273_M_19.txt,profiles/NGC_6273_M_19.txt,39339.0,2301.0,101.0,,,
NGC6284,True,True,False,False,False,NGC_6284,catalogues/NGC_6284.txt,profiles/NGC_6284.txt,6029.0,185.0,101.0,,,
NGC6287,True,True,False,False,False,NGC_6287,catalogues/NGC_6287.txt,profiles/NGC_6287.txt,6892.0,691.0,101.0,,,
NGC6293,True,True,False,True,False,NGC_6293,catalogues/NGC_6293.txt,profiles/NGC_6293.txt,13080.0,285.0,101.0,,,
NGC6304,True,True,False,True,False,NGC_6304,catalogues/NGC_6304.txt,profiles/NGC_6304.txt,15428.0,232.0,101.0,,,
NGC6316,True,True,False,True,False,NGC_6316,catalogues/NGC_6316.txt,profiles/NGC_6316.txt,9463.0,95.0,101.0,,,
NGC6325,True,True,False,False,False,NGC_6325,catalogues/NGC_6325.txt,profiles/NGC_6325.txt,2726.0,302.0,101.0,,,
NGC6333,True,True,False,False,False,NGC_6333_M_9,catalogues/NGC_6333_M_9.txt,profiles/NGC_6333_M_9.txt,22807.0,926.0,101.0,,,
NGC6341,True,True,False,True,False,NGC_6341_M_92,catalogues/NGC_6341_M_92.txt,profiles/NGC_6341_M_92.txt,18601.0,6925.0,101.0,,,
NGC6342,True,True,False,False,False,NGC_6342,catalogues/NGC_6342.txt,profiles/NGC_6342.txt,6587.0,298.0,101.0,,,
NGC6352,True,True,False,False,False,NGC_6352,catalogues/NGC_6352.txt,profiles/NGC_6352.txt,34948.0,1783.0,101.0,,,
NGC6355,True,True,False,False,False,NGC_6355,catalogues/NGC_6355.txt,profiles/NGC_6355.txt,4917.0,160.0,101.0,,,
NGC6356,True,True,False,False,False,NGC_6356,catalogues/NGC_6356.txt,profiles/NGC_6356.txt,22584.0,361.0,101.0,,,
NGC6362,True,True,False,False,False,NGC_6362,catalogues/NGC_6362.txt,profiles/NGC_6362.txt,23789.0,7073.0,101.0,,,
NGC6366,True,True,False,False,False,NGC_6366,catalogues/NGC_6366.txt,profiles/NGC_6366.txt,13858.0,5560.0,101.0,,,
NGC6380,True,True,False,True,False,NGC_6380_Ton1,catalogues/NGC_6380_Ton1.txt,profiles/NGC_6380_Ton1.txt,4287.0,146.0,101.0,,,
NGC6388,True,True,False,True,False,NGC_6388,catalogues/NGC_6388.txt,profiles/NGC_6388.txt,35425.0,600.0,101.0,,,
NGC6397,True,True,False,True,False,NGC_6397,catalogues/NGC_6397.txt,profiles/NGC_6397.txt,103786.0,20293.0,101.0,,,
NGC6401,True,True,False,True,False,NGC_6401,catalogues/NGC_6401.txt,profiles/NGC_6401.txt,4852.0,115.0,101.0,,,
NGC6402,True,True,False,False,False,NGC_6402_M_14,catalogues/NGC_6402_M_14.txt,profiles/NGC_6402_M_14.txt,13445.0,3007.0,101.0,,,
NGC6426,True,True,False,False,False,NGC_6426,catalogues/NGC_6426.txt,profiles/NGC_6426.txt,1396.0,260.0,101.0,,,
NGC6440,True,True,False,False,False,NGC_6440,catalogues/NGC_6440.txt,profiles/NGC_6440.txt,4801.0,177.0,101.0,,,
NGC6441,True,True,False,True,False,NGC_6441,catalogues/NGC_6441.txt,profiles/NGC_6441.txt,22109.0,369.0,101.0,,,
NGC6453,True,True,False,False,False,NGC_6453,catalogues/NGC_6453.txt,profiles/NGC_6453.txt,6086.0,58.0,101.0,,,
NGC6496,True,True,False,False,False,NGC_6496,catalogues/NGC_6496.txt,profiles/NGC_6496.txt,8632.0,924.0,101.0,,,
NGC6517,True,True,False,True,False,NGC_6517,catalogues/NGC_6517.txt,profiles/NGC_6517.txt,3146.0,271.0,101.0,,,
NGC6522,True,True,False,True,False,NGC_6522,catalogues/NGC_6522.txt,profiles/NGC_6522.txt,5257.0,60.0,101.0,,,
NGC6528,True,True,False,True,False,NGC_6528,catalogues/NGC_6528.txt,profiles/NGC_6528.txt,2426.0,16.0,101.0,,,
NGC6535,True,True,False,False,False,NGC_6535,catalogues/NGC_6535.txt,profiles/NGC_6535.txt,2764.0,565.0,101.0,,,
NGC6539,True,True,False,True,False,NGC_6539,catalogues/NGC_6539.txt,profiles/NGC_6539.txt,6527.0,798.0,101.0,,,
NGC6540,True,True,False,True,False,NGC_6540_Djorg,catalogues/NGC_6540_Djorg.txt,profiles/NGC_6540_Djorg.txt,2415.0,13.0,101.0,,,
NGC6541,True,True,False,False,False,NGC_6541,catalogues/NGC_6541.txt,profiles/NGC_6541.txt,37666.0,3330.0,101.0,,,
NGC6544,True,True,False,True,False,NGC_6544,catalogues/NGC_6544.txt,profiles/NGC_6544.txt,45816.0,2602.0,101.0,,,
NGC6553,True,True,False,True,False,NGC_6553,catalogues/NGC_6553.txt,profiles/NGC_6553.txt,19343.0,350.0,101.0,,,
NGC6558,True,True,False,True,False,NGC_6558,catalogues/NGC_6558.txt,profiles/NGC_6558.txt,5206.0,28.0,101.0,,,
NGC6569,True,True,False,True,False,NGC_6569,catalogues/NGC_6569.txt,profiles/NGC_6569.txt,9180.0,253.0,101.0,,,
NGC6584,True,True,False,False,False,NGC_6584,catalogues/NGC_6584.txt,profiles/NGC_6584.txt,5840.0,1047.0,101.0,,,
NGC6624,True,True,False,False,False,NGC_6624,catalogues/NGC_6624.txt,profiles/NGC_6624.txt,8578.0,181.0,101.0,,,
NGC6626,True,True,False,False,False,NGC_6626_M_28,catalogues/NGC_6626_M_28.txt,profiles/NGC_6626_M_28.txt,36300.0,750.0,101.0,,,
NGC6637,True,True,False,False,False,NGC_6637_M_69,catalogues/NGC_6637_M_69.txt,profiles/NGC_6637_M_69.txt,9558.0,415.0,101.0,,,
NGC6638,True,True,False,False,False,NGC_6638,catalogues/NGC_6638.txt,profiles/NGC_6638.txt,2459.0,92.0,101.0,,,
NGC6642,True,True,False,True,False,NGC_6642,catalogues/NGC_6642.txt,profiles/NGC_6642.txt,2233.0,83.0,101.0,,,
NGC6652,True,True,False,False,False,NGC_6652,catalogues/NGC_6652.txt,profiles/NGC_6652.txt,3880.0,387.0,101.0,,,
NGC6656,True,True,False,True,False,NGC_6656_M_22,catalogues/NGC_6656_M_22.txt,profiles/NGC_6656_M_22.txt,194072.0,8451.0,101.0,,,
NGC6681,True,True,False,False,False,NGC_6681_M_70,catalogues/NGC_6681_M_70.txt,profiles/NGC_6681_M_70.txt,10679.0,763.0,101.0,,,
NGC6712,True,True,False,False,False,NGC_6712,catalogues/NGC_6712.txt,profiles/NGC_6712.txt,12097.0,599.0,101.0,,,
NGC6715,True,True,False,True,False,NGC_6715_M_54,catalogues/NGC_6715_M_54.txt,profiles/NGC_6715_M_54.txt,9975.0,1710.0,101.0,,,
NGC6717,True,True,False,True,False,NGC_6717_Pal9,catalogues/NGC_6717_Pal9.txt,profiles/NGC_6717_Pal9.txt,2588.0,289.0,101.0,,,
NGC6723,True,True,False,True,False,NGC_6723,catalogues/NGC_6723.txt,profiles/NGC_6723.txt,15708.0,2623.0,101.0,,,
NGC6749,True,True,False,False,False,NGC_6749,catalogues/NGC_6749.txt,profiles/NGC_6749.txt,7537.0,368.0,101.0,,,
NGC6752,True,True,False,True,False,NGC_6752,catalogues/NGC_6752.txt,profiles/NGC_6752.txt,54820.0,21066.0,101.0,,,
NGC6760,True,True,False,True,False,NGC_6760,catalogues/NGC_6760.txt,profiles/NGC_6760.txt,13595.0,344.0,101.0,,,
NGC6779,True,True,False,False,False,NGC_6779_M_56,catalogues/NGC_6779_M_56.txt,profiles/NGC_6779_M_56.txt,13064.0,2392.0,101.0,,,
NGC6809,True,True,False,True,False,NGC_6809_M_55,catalogues/NGC_6809_M_55.txt,profiles/NGC_6809_M_55.txt,30889.0,9508.0,101.0,,,
NGC6838,True,True,False,True,False,NGC_6838_M_71,catalogues/NGC_6838_M_71.txt,profiles/NGC_6838_M_71.txt,34560.0,3360.0,101.0,,,
NGC6864,True,True,False,False,False,NGC_6864_M_75,catalogues/NGC_6864_M_75.txt,profiles/NGC_6864_M_75.txt,2994.0,691.0,101.0,,,
NGC6934,True,True,False,False,False,NGC_6934,catalogues/NGC_6934.txt,profiles/NGC_6934.txt,4614.0,984.0,101.0,,,
NGC6981,True,True,False,False,False,NGC_6981_M_72,catalogues/NGC_6981_M_72.txt,profiles/NGC_6981_M_72.txt,3510.0,1103.0,101.0,,,
NGC7006,True,False,False,False,False,NGC_7006,catalogues/NGC_7006.txt,,1224.0,208.0,,,,
NGC7078,True,True,False,True,False,NGC_7078_M_15,catalogues/NGC_7078_M_15.txt,profiles/NGC_7078_M_15.txt,19770.0,7268.0,101.0,,,
NGC7089,True,True,False,True,False,NGC_7089_M_2,catalogues/NGC_7089_M_2.txt,profiles/NGC_7089_M_2.txt,13189.0,4583.0,101.0,,,
NGC7099,True,True,False,False,False,NGC_7099_M_30,catalogues/NGC_7099_M_30.txt,profiles/NGC_7099_M_30.txt,9770.0,4231.0,101.0,,,
NGC7492,True,False,False,False,False,NGC_7492,catalogues/NGC_7492.txt,,531.0,243.0,,,,
PAL01,True,False,False,True,True,Pal_1,catalogues/Pal_1.txt,,217.0,80.0,,3.0,-75.74323272705078,-0.4472500085830688
PAL02,True,False,False,False,False,Pal_2,catalogues/Pal_2.txt,,607.0,136.0,,,,
PAL03,True,False,False,False,False,Pal_3,catalogues/Pal_3.txt,,85.0,37.0,,,,
PAL04,True,False,False,False,False,Pal_4,catalogues/Pal_4.txt,,117.0,71.0,,,,
PAL05,True,False,False,True,False,Pal_5,catalogues/Pal_5.txt,,824.0,308.0,,,,
PAL06,True,True,False,True,False,Pal_6,catalogues/Pal_6.txt,profiles/Pal_6.txt,5377.0,62.0,101.0,,,
PAL08,True,True,False,False,False,Pal_8,catalogues/Pal_8.txt,profiles/Pal_8.txt,6353.0,127.0,101.0,,,
PAL10,True,True,False,True,False,Pal_10,catalogues/Pal_10.txt,profiles/Pal_10.txt,3358.0,216.0,101.0,,,
PAL11,True,False,False,False,False,Pal_11,catalogues/Pal_11.txt,,1354.0,243.0,,,,
PAL12,True,False,False,False,False,Pal_12,catalogues/Pal_12.txt,,501.0,262.0,,,,
PAL13,True,False,False,False,False,Pal_13,catalogues/Pal_13.txt,,103.0,51.0,,,,
PAL14,True,False,False,False,False,Pal_14,catalogues/Pal_14.txt,,229.0,75.0,,,,
PAL15,True,False,False,False,False,Pal_15,catalogues/Pal_15.txt,,393.0,104.0,,,,
PFLEIDERER_2,True,False,False,False,False,Pfleiderer_2,catalogues/Pfleiderer_2.txt,,865.0,59.0,,,,
PYXIS,True,False,False,False,False,Pyxis,catalogues/Pyxis.txt,,584.0,97.0,,,,
RUP106,False,False,False,True,True,,,,,,,2.0,-37.51356315612793,-1.3061000108718872
RUP_106,True,False,False,False,False,Rup_106,catalogues/Rup_106.txt,,1378.0,418.0,,,,
RYU_059_RLGC1,True,False,False,False,False,Ryu_059_RLGC1,catalogues/Ryu_059_RLGC1.txt,,141.0,30.0,,,,
RYU_879_RLGC2,True,False,False,False,False,Ryu_879_RLGC2,catalogues/Ryu_879_RLGC2.txt,,347.0,3.0,,,,
SEGUE_3,True,False,False,False,False,Segue_3,catalogues/Segue_3.txt,,76.0,16.0,,,,
TER10,False,False,False,True,False,,,,,,,,,
TER12,False,False,False,True,False,,,,,,,,,
TER2,False,False,False,True,False,,,,,,,,,
TER4,False,False,False,True,False,,,,,,,,,
TER5,False,False,False,True,False,,,,,,,,,
TER9,False,False,False,True,False,,,,,,,,,
